	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
IFN-g receptor 1 deficiency_IFNGR1_AR	IFN-g receptor 1 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	107470	IFNGR1	IFNGR1	3459	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	['Interferon gamma (DG00737): D00747<US> D03357<JP> D08805']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04066  HIF-1 signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05164  Influenza A', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IFN-g receptor 1 deficiency_IFNGR1_AD	IFN-g receptor 1 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AD	107470	IFNGR1	IFNGR1	3459	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	['Interferon gamma (DG00737): D00747<US> D03357<JP> D08805']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04066  HIF-1 signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05164  Influenza A', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000006', 'HP:0011274', 'HP:0002715']
IFN-g receptor 2 deficiency_IFNGR2_AR	IFN-g receptor 2 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	147569	IFNGR2	IFNGR2	3460	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	['Interferon gamma (DG00737): D00747<US> D03357<JP> D08805']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04066  HIF-1 signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05200  Pathways in cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IL-12p40 (IL-12 and IL-23) deficiency_IL12B_AR	IL-12p40 (IL-12 and IL-23) deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	161561	IL12B	IL12B	3593	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	['Apilimod mesylate: D06556', 'Briakinumab: D09588', 'Lisofylline: D04748', 'Ustekinumab: D09214<JP/US>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04936  Alcoholic liver disease', 'hsa04940  Type I diabetes mellitus', 'hsa05133  Pertussis', 'hsa05134  Legionellosis', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05143  African trypanosomiasis', 'hsa05145  Toxoplasmosis', 'hsa05146  Amoebiasis', 'hsa05152  Tuberculosis', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05205  Proteoglycans in cancer', 'hsa05321  Inflammatory bowel disease', 'hsa05330  Allograft rejection', 'hsa05417  Lipid and atherosclerosis']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IL-12 and IL-23 receptor b1 chain deficiency_IL12RB1_AR	IL-12 and IL-23 receptor b1 chain deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	601604	IL12RB1	IL12RB1	3594	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05200  Pathways in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IL-12Rb2 deficiency_IL12RB2_AR	IL-12Rb2 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		IL12RB2	IL12RB2	3595	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa05200  Pathways in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IL-23R deficiency_IL23R_AR	IL-23R deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		IL23R	IL23R	149233	Susceptibility to mycobacteria and Salmonella	Normal	Normal	Normal	Normal	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa05200  Pathways in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
IRF8 deficiency (AD)_IRF8_AD	IRF8 deficiency (AD)	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AD	601565	IRF8	IRF8	3394	Susceptibility to mycobacteria	Normal	Normal	Normal	Normal	CD1c+ MDC	[]	['hsa05133  Pertussis']	['HP:0000006', 'HP:0011274', 'HP:0002715']
IRF8 deficiency (AR)_IRF8_AR	IRF8 deficiency (AR)	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	601565	IRF8	IRF8	3394	Susceptibility to mycobacteria and multiple other infectious agents	Normal	Normal	Normal	Normal	CD1c+ MDC	[]	['hsa05133  Pertussis']	['HP:0000007', 'HP:0011274', 'HP:0002715']
ISG15 deficiency_ISG15_AR	ISG15 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	147571	ISG15	ISG15	9636	Susceptibility to mycobacteria, brain calcifications	nan	nan	nan	nan	Ubiquitously expressed	[]	['hsa04622  RIG-I-like receptor signaling pathway', 'hsa05165  Human papillomavirus infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000007', 'HP:0011274', 'HP:0002715', 'HP:0002514']
JAK1 (LOF)_JAK1_AR	JAK1 (LOF)	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	147795	JAK1	JAK1	3716	Susceptibility to mycobacteria and viruses, urothelial carcinoma	nan	nan	nan	nan	nan	['Abrocitinib: D11400<JP/US>', 'Baricitinib: D10308<JP/US>', 'Brepocitinib (DG03044): D11537 D11538', 'Delgocitinib: D11046<JP>', 'Deuruxolitinib (DG03114): D11866 D11867', 'Filgotinib (DG01991): D10871 D10872 D11106<JP>', 'Gusacitinib (DG03080): D11676 D11677', 'Itacitinib (DG02833): D10944 D10945', 'Ivarmacitinib (DG03175): D12211 D12212', 'Momelotinib (DG01366): D10315 D10358 D10889', 'Nezulcitinib: D12118', 'Oclacitinib (DG02005): D10141 D10142', 'Peficitinib (DG01853): D10653 D10721<JP>', 'Ruxolitinib (DG00719): D09959 D09960<JP/US>', 'Solcitinib: D10728', 'Tofacitinib (DG00742): D09783<JP/US> D09970', 'Tuspetinib: D12476', 'Upadacitinib (DG02829): D10994<US> D10995 D11048<JP>']	['hsa01521  EGFR tyrosine kinase inhibitor resistance', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04550  Signaling pathways regulating pluripotency of stem cells', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05140  Leishmaniasis', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05212  Pancreatic cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer']	['HP:0000007', 'HP:0011274', 'HP:0002715', 'HP:0030731']
RORgt deficiency_RORC_AR	RORgt deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	602943	RORC	RORC	6097	Susceptibility to mycobacteria and candida	nan	nan	nan	nan	nan	['Cedirogant: D12274']	['hsa04659  Th17 cell differentiation', 'hsa04710  Circadian rhythm', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
SPPL2a deficiency_SPPL2A_AR	SPPL2a deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		SPPL2A	SPPL2A	84888	Susceptibility to mycobacteria, Salmonella,	Poor Th1	nan	nan	nan	CDC	[]	[]	['HP:0000007', 'HP:0011274', 'HP:0002715']
STAT1 deficiency (AD LOF)_STAT1_AD	STAT1 deficiency (AD LOF)	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AD	600555	STAT1	STAT1	6772	Susceptibility to mycobacteria, Salmonella,	Normal	Normal	Normal	Normal	nan	[]	['hsa04062  Chemokine signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04917  Prolactin signaling pathway', 'hsa04919  Thyroid hormone signaling pathway', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa04935  Growth hormone synthesis, secretion and action', 'hsa05140  Leishmaniasis', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05212  Pancreatic cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease']	['HP:0000006', 'HP:0011274', 'HP:0002715']
TBX21 deficiency_TBX21_AR	TBX21 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		TBX21	TBX21	30009	Susceptibility to mycobacteria	Low MAIT, CXCR3 Th1 T cells	Normal	Normal	nan	nan	[]	['hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05321  Inflammatory bowel disease']	['HP:0000007', 'HP:0011274', 'HP:0002715']
Tyk2 deficiency_TYK2_AR	Tyk2 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR	176941	TYK2	TYK2	7297	Susceptibility to intracellular bacteria (mycobacteria, Salmonella), viruses, +/- elevated IgE	nan	nan	nan	nan	Normal, but multiple cytokine signaling defect	['Brepocitinib (DG03044): D11537 D11538', 'Delgocitinib: D11046<JP>', 'Deucravacitinib: D11817<JP/US>', 'Filgotinib (DG01991): D11106<JP>', 'Nezulcitinib: D12118', 'Ropsacitinib: D12056', 'Tofacitinib (DG00742): D09783<JP/US> D09970']	['hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000007', 'HP:0011274', 'HP:0002715']
P1104A TYK2 homozygosity_TYK2_AR	P1104A TYK2 homozygosity	Table 6 Defects in intrinsic and innate immunity	Subtable 1 Mendelian Susceptibility to mycobacterial disease (MSMD)	AR		TYK2	TYK2	7297	Susceptibility to mycobacteria	nan	nan	nan	nan	nan	['Brepocitinib (DG03044): D11537 D11538', 'Delgocitinib: D11046<JP>', 'Deucravacitinib: D11817<JP/US>', 'Filgotinib (DG01991): D11106<JP>', 'Nezulcitinib: D12118', 'Ropsacitinib: D12056', 'Tofacitinib (DG00742): D09783<JP/US> D09970']	['hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0000007', 'HP:0011274', 'HP:0002715']
CIB1 deficiency_CIB1_AR	CIB1 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	AR	618267	CIB1	CIB1	10519	HPV (group B1) infections and cancer of the skin (typical EV)	nan	nan	nan	nan	Keratinocytes	[]	[]	['HP:0020114', 'HP:0002715', 'HP:0008069', 'HP:0002664', 'HP:0000007']
WHIM (Warts, Hypogammaglobulinemia, infections, Myelokathexis)  syndrome_CXCR4_AD GOF	WHIM (Warts, Hypogammaglobulinemia, infections, Myelokathexis)  syndrome	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	AD GOF	162643	CXCR4	CXCR4	7852	Warts (HPV) infection, neutropenia, low B cell number, hypogammaglobulinemia	Variable	Variable	Variable	Variable	Granulocytes + Lymphocytes	['Balixafortide: D12128', 'Mavorixafor: D11510', 'Motixafortide (DG03214): D12281 D12282', 'Plerixafor: D08971<JP/US>']	['hsa03250  Viral life cycle - HIV-1', 'hsa03260  Virion - Human immunodeficiency virus', 'hsa04020  Calcium signaling pathway', 'hsa04060  Cytokine-cytokine receptor interaction', 'hsa04061  Viral protein interaction with cytokine and cytokine receptor', 'hsa04062  Chemokine signaling pathway', 'hsa04144  Endocytosis', 'hsa04360  Axon guidance', 'hsa04670  Leukocyte transendothelial migration', 'hsa04672  Intestinal immune network for IgA production', 'hsa04810  Regulation of actin cytoskeleton', 'hsa05163  Human cytomegalovirus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05200  Pathways in cancer']	['HP:0000006', 'HP:0020114', 'HP:0002715', 'HP:0001875', 'HP:0200043', 'HP:0004313']
EVER1 deficiency_TMC6_AR	EVER1 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	AR	605828	TMC6	TMC6	11322	Human papillomavirus (HPV) (group B1) infections and cancer of the skin (typical EV)	nan	nan	nan	nan	Keratinocytes and leukocytes	[]	[]	['HP:0020114', 'HP:0002715', 'HP:0008069', 'HP:0002664', 'HP:0000007']
EVER2 deficiency_TMC8_AR	EVER2 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 2 Epidermodysplasia verruciformis (HPV)	AR	605829	TMC8	TMC8	147138	HPV (group B1) infections and cancer of the skin (typical EV)	nan	nan	nan	nan	Keratinocytes and leukocytes	[]	[]	['HP:0020114', 'HP:0002715', 'HP:0008069', 'HP:0002664', 'HP:0000007']
CD16 deficiency_FCGR3A_AR	CD16 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	AR	146740	FCGR3A	FCGR3A	2214	severe herpes viral infections, particularly VZV, Epstein Barr virus (EBV), and (HPV)	Normal	Normal	Normal	Normal	NK cell dysfunction	[]	['hsa04145  Phagosome', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04666  Fc gamma R-mediated phagocytosis', 'hsa05140  Leishmaniasis', 'hsa05150  Staphylococcus aureus infection', 'hsa05152  Tuberculosis', 'hsa05322  Systemic lupus erythematosus']	['HP:0031691', 'HP:0000007', 'HP:0002715']
MDA5 deficiency (LOF)_IFIH1_AR	MDA5 deficiency (LOF)	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	AR	606951	IFIH1	IFIH1	64135	Rhinovirus and other RNA viruses	Normal	Normal	Normal	Normal	Somatic and hematopoietic	[]	['hsa04622  RIG-I-like receptor signaling pathway', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19']	['HP:0031691', 'HP:0000007', 'HP:0002715']
IFNAR1 deficiency_IFNAR1_AR	IFNAR1 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	AR		IFNAR1	IFNAR1	3454	Severe disease caused by Yellow Fever vaccine and Measles vaccine, severe COVID-19	Normal	Normal	Normal	Normal	nan	['Albinterferon alfa-2b: D08844', 'Anifrolumab: D11082<JP/US>', 'Interferon alfa natural: D03305<JP>', 'Interferon alfa-2a: D00745', 'Interferon alfa-2b: D02745<US>', 'Interferon alfa-n1: D04552', 'Interferon alfacon-1: D02744', 'Interferon alpha', '(abbr) INFalpha (DG01750): D04553<US>', 'Interferon beta natural: D03304<JP>', 'Interferon beta-1a: D04554<JP/US>', 'Interferon beta-1b: D00746<JP/US>', 'Peginterferon alfa-2a: D02747<JP/US>', 'Peginterferon alfa-2b: D02748', 'Peginterferon beta-1a: D10483<US>', 'Ropeginterferon alfa-2b: D11027<US>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer']	['HP:0031691', 'HP:0000007', 'HP:0001945', 'HP:0002715']
IFNAR2 deficiency_IFNAR2_AR	IFNAR2 deficiency	Table 6 Defects in intrinsic and innate immunity	Subtable 3 Predisposition to Severe Viral Infection	AR	602376	IFNAR2	IFNAR2	3455	Severe viral infections (disseminated vaccine-strain measles, HHV6), severe COVID-19	Normal	Normal	Normal	Normal	Broadly expressed	['Albinterferon alfa-2b: D08844', 'Anifrolumab: D11082<JP/US>', 'Interferon alfa natural: D03305<JP>', 'Interferon alfa-2a: D00745', 'Interferon alfa-2b: D02745<US>', 'Interferon alfa-n1: D04552', 'Interferon alfacon-1: D02744', 'Interferon alpha', '(abbr) INFalpha (DG01750): D04553<US>', 'Interferon beta natural: D03304<JP>', 'Interferon beta-1a: D04554<JP/US>', 'Interferon beta-1b: D00746<JP/US>', 'Peginterferon alfa-2a: D02747<JP/US>', 'Peginterferon alfa-2b: D02748', 'Peginterferon beta-1a: D10483<US>', 'Ropeginterferon alfa-2b: D11027<US>']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04217  Necroptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04630  JAK-STAT signaling pathway', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa05160  Hepatitis C', 'hsa05162  Measles', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer']	['HP:0031691', 'HP:0031696', 'HP:0000007', 'HP:0002715']
